Team1,Team2,Map,Result
FunPlus Phoenix,G2 Esports,Ascent,1
FunPlus Phoenix,G2 Esports,Split,1
FNATIC,G2 Esports,Breeze,0
FNATIC,G2 Esports,Icebox,0
FNATIC,G2 Esports,Ascent,0
Team Liquid,G2 Esports,Icebox,0
Team Liquid,G2 Esports,Split,0
FNATIC,FunPlus Phoenix,Split,0
FNATIC,FunPlus Phoenix,Haven,0
FunPlus Phoenix,Team Liquid,Split,1
FunPlus Phoenix,Team Liquid,Haven,1
G2 Esports,Team Liquid,Split,0
G2 Esports,Team Liquid,Icebox,1
G2 Esports,Team Liquid,Haven,0
Natus Vincere,FunPlus Phoenix,Ascent,1
Natus Vincere,FunPlus Phoenix,Breeze,0
Natus Vincere,FunPlus Phoenix,Icebox,0
100 Thieves,Evil Geniuses,Breeze,1
100 Thieves,Evil Geniuses,Haven,1
LEVIATÁN,KRÜ Esports,Ascent,1
LEVIATÁN,KRÜ Esports,Breeze,1
FunPlus Phoenix,Team Liquid,Ascent,1
FunPlus Phoenix,Team Liquid,Haven,1
G2 Esports,BBL Esports,Icebox,1
G2 Esports,BBL Esports,Split,1
KRÜ Esports,LEVIATÁN,Split,1
KRÜ Esports,LEVIATÁN,Bind,1
EDward Gaming,TYLOO,Split,1
EDward Gaming,TYLOO,Ascent,1
Cloud9,Evil Geniuses,Haven,1
Cloud9,Evil Geniuses,Breeze,0
Cloud9,Evil Geniuses,Ascent,1
Natus Vincere,Team Liquid,Haven,0
Natus Vincere,Team Liquid,Bind,1
Natus Vincere,Team Liquid,Split,0
BBL Esports,FNATIC,Icebox,0
BBL Esports,FNATIC,Ascent,0
Sentinels,NRG Esports,Fracture,0
Sentinels,NRG Esports,Haven,1
Sentinels,NRG Esports,Bind,1
Cloud9,100 Thieves,Split,1
Cloud9,100 Thieves,Breeze,1
G2 Esports,FNATIC,Icebox,0
G2 Esports,FNATIC,Ascent,1
G2 Esports,FNATIC,Split,0
T1,Evil Geniuses,Split,1
T1,Evil Geniuses,Bind,0
T1,Evil Geniuses,Haven,1
Cloud9,NRG Esports,Icebox,1
Cloud9,NRG Esports,Bind,0
Cloud9,NRG Esports,Breeze,1
FUT Esports,BBL Esports,Ascent,0
FUT Esports,BBL Esports,Haven,0
FUT Esports,BBL Esports,Bind,1
FUT Esports,BBL Esports,Split,0
BBL Esports,FUT Esports,Icebox,0
BBL Esports,FUT Esports,Split,0
Natus Vincere,FunPlus Phoenix,Bind,1
Natus Vincere,FunPlus Phoenix,Icebox,1
Natus Vincere,FunPlus Phoenix,Breeze,0
Natus Vincere,FunPlus Phoenix,Haven,0
Natus Vincere,FunPlus Phoenix,Split,0
G2 Esports,Team Vitality,Fracture,0
G2 Esports,Team Vitality,Haven,0
Team Vitality,KOI,Icebox,1
Team Vitality,KOI,Ascent,1
FNATIC,KRÜ Esports,Haven,0
FNATIC,KRÜ Esports,Icebox,1
FNATIC,KRÜ Esports,Split,0
Team Liquid,Cloud9,Bind,1
Team Liquid,Cloud9,Ascent,1
Sentinels,KRÜ Esports,Fracture,1
Sentinels,KRÜ Esports,Haven,0
Sentinels,KRÜ Esports,Split,0
KRÜ Esports,FURIA,Fracture,0
KRÜ Esports,FURIA,Ascent,1
KRÜ Esports,FURIA,Haven,1
Team Liquid,Sentinels,Breeze,1
Team Liquid,Sentinels,Bind,0
Team Liquid,Sentinels,Split,1
KRÜ Esports,Team Liquid,Haven,0
KRÜ Esports,Team Liquid,Ascent,0
Sentinels,FURIA,Ascent,1
Sentinels,FURIA,Breeze,0
Sentinels,FURIA,Haven,1
FNATIC,Cloud9,Icebox,1
FNATIC,Cloud9,Split,0
FNATIC,Cloud9,Fracture,1
BOOM Esports,Paper Rex,Icebox,1
BOOM Esports,Paper Rex,Ascent,1
Team Liquid,FNATIC,Split,1
Team Liquid,FNATIC,Icebox,1
100 Thieves,Cloud9,Icebox,1
100 Thieves,Cloud9,Breeze,0
100 Thieves,Cloud9,Haven,0
G2 Esports,Team Liquid,Ascent,0
G2 Esports,Team Liquid,Bind,1
G2 Esports,Team Liquid,Haven,0
G2 Esports,FUT Esports,Ascent,1
G2 Esports,FUT Esports,Breeze,1
G2 Esports,FUT Esports,Icebox,0
Paper Rex,Global Esports,Icebox,1
Paper Rex,Global Esports,Split,1
G2 Esports,KRÜ Esports,Haven,1
G2 Esports,KRÜ Esports,Icebox,1
G2 Esports,Sentinels,Icebox,1
G2 Esports,Sentinels,Split,1
Sentinels,G2 Esports,Split,1
Sentinels,G2 Esports,Icebox,0
Sentinels,G2 Esports,Haven,1
KRÜ Esports,ZETA DIVISION,Ascent,1
KRÜ Esports,ZETA DIVISION,Split,0
KRÜ Esports,ZETA DIVISION,Bind,1
NRG Esports,Cloud9,Haven,0
NRG Esports,Cloud9,Breeze,0
NRG Esports,Cloud9,Split,1
NRG Esports,Cloud9,Icebox,0
Cloud9,Evil Geniuses,Split,0
Cloud9,Evil Geniuses,Ascent,1
Cloud9,Evil Geniuses,Icebox,1
BOOM Esports,Paper Rex,Bind,0
BOOM Esports,Paper Rex,Icebox,0
NRG Esports,Evil Geniuses,Icebox,0
NRG Esports,Evil Geniuses,Bind,1
NRG Esports,Evil Geniuses,Haven,1
Sentinels,100 Thieves,Bind,1
Sentinels,100 Thieves,Breeze,0
Sentinels,100 Thieves,Haven,1
Sentinels,100 Thieves,Split,1
Sentinels,100 Thieves,Split,1
Sentinels,100 Thieves,Haven,1
Natus Vincere,Team Liquid,Icebox,1
Natus Vincere,Team Liquid,Bind,0
Natus Vincere,Team Liquid,Split,1
BOOM Esports,Rex Regum Qeon,Breeze,1
BOOM Esports,Rex Regum Qeon,Icebox,1
BOOM Esports,Rex Regum Qeon,Split,1
EDward Gaming,All Gamers,Bind,1
EDward Gaming,All Gamers,Split,1
BOOM Esports,Rex Regum Qeon,Icebox,1
BOOM Esports,Rex Regum Qeon,Haven,1
Team Liquid,FNATIC,Haven,1
Team Liquid,FNATIC,Ascent,0
Team Liquid,FNATIC,Breeze,1
Team Liquid,FNATIC,Split,0
Team Liquid,FNATIC,Bind,1
Team Heretics,Team Vitality,Breeze,0
Team Heretics,Team Vitality,Icebox,0
100 Thieves,Sentinels,Haven,0
100 Thieves,Sentinels,Breeze,0
FunPlus Phoenix,G2 Esports,Bind,0
FunPlus Phoenix,G2 Esports,Icebox,1
FunPlus Phoenix,G2 Esports,Haven,0
FNATIC,G2 Esports,Icebox,0
FNATIC,G2 Esports,Haven,0
FunPlus Phoenix,Team Liquid,Haven,1
FunPlus Phoenix,Team Liquid,Ascent,1
G2 Esports,FunPlus Phoenix,Icebox,0
G2 Esports,FunPlus Phoenix,Ascent,0
BBL Esports,FUT Esports,Ascent,1
BBL Esports,FUT Esports,Icebox,0
BBL Esports,FUT Esports,Split,0
Team Liquid,FNATIC,Breeze,0
Team Liquid,FNATIC,Bind,1
Team Liquid,FNATIC,Haven,0
Sentinels,Evil Geniuses,Icebox,1
Sentinels,Evil Geniuses,Haven,1
FunPlus Phoenix,Team Vitality,Bind,1
FunPlus Phoenix,Team Vitality,Icebox,1
G2 Esports,FNATIC,Bind,1
G2 Esports,FNATIC,Haven,1
Team Vitality,G2 Esports,Breeze,1
Team Vitality,G2 Esports,Icebox,0
Team Vitality,G2 Esports,Ascent,0
BOOM Esports,Paper Rex,Bind,1
BOOM Esports,Paper Rex,Icebox,1
Sentinels,FNATIC,Split,1
Sentinels,FNATIC,Bind,1
Sentinels,FNATIC,Haven,1
FNATIC,Team Liquid,Bind,1
FNATIC,Team Liquid,Ascent,1
Team Liquid,KRÜ Esports,Split,1
Team Liquid,KRÜ Esports,Ascent,1
Sentinels,FNATIC,Icebox,1
Sentinels,FNATIC,Haven,1
FNATIC,KRÜ Esports,Haven,1
FNATIC,KRÜ Esports,Icebox,1
Team Liquid,FNATIC,Haven,0
Team Liquid,FNATIC,Icebox,1
Team Liquid,FNATIC,Ascent,1
Team Liquid,FNATIC,Bind,0
Team Liquid,FNATIC,Split,1
Sentinels,Cloud9,Haven,1
Sentinels,Cloud9,Split,0
Sentinels,Cloud9,Icebox,1
100 Thieves,Sentinels,Haven,0
100 Thieves,Sentinels,Icebox,1
100 Thieves,Sentinels,Bind,0
Cloud9,NRG Esports,Haven,1
Cloud9,NRG Esports,Ascent,1
FunPlus Phoenix,Team Liquid,Haven,0
FunPlus Phoenix,Team Liquid,Bind,0
Cloud9,Sentinels,Bind,0
Cloud9,Sentinels,Haven,0
Cloud9,Sentinels,Split,0
NRG Esports,Sentinels,Split,0
NRG Esports,Sentinels,Ascent,0
Cloud9,NRG Esports,Haven,1
Cloud9,NRG Esports,Icebox,1
BBL Esports,Team Liquid,Haven,1
BBL Esports,Team Liquid,Ascent,0
BBL Esports,Team Liquid,Bind,0
T1,Sentinels,Haven,1
T1,Sentinels,Split,0
T1,Sentinels,Icebox,0
Cloud9,T1,Haven,1
Cloud9,T1,Icebox,1
FNATIC,Team Liquid,Icebox,1
FNATIC,Team Liquid,Ascent,0
FNATIC,Team Liquid,Bind,1
FNATIC,Team Liquid,Split,1
Team Vitality,FNATIC,Haven,0
Team Vitality,FNATIC,Icebox,0
G2 Esports,FNATIC,Bind,0
G2 Esports,FNATIC,Ascent,0
G2 Esports,Team Vitality,Icebox,0
G2 Esports,Team Vitality,Ascent,1
G2 Esports,Team Vitality,Split,1
G2 Esports,Team Heretics,Split,1
G2 Esports,Team Heretics,Icebox,1
100 Thieves,Cloud9,Icebox,1
100 Thieves,Cloud9,Ascent,1
FunPlus Phoenix,Team Vitality,Split,1
FunPlus Phoenix,Team Vitality,Haven,1
Team Vitality,G2 Esports,Icebox,1
Team Vitality,G2 Esports,Ascent,0
Team Vitality,G2 Esports,Split,1
BBL Esports,FUT Esports,Bind,0
BBL Esports,FUT Esports,Split,0
BBL Esports,FUT Esports,Ascent,0
FUT Esports,BBL Esports,Ascent,1
FUT Esports,BBL Esports,Haven,1
Sentinels,100 Thieves,Ascent,1
Sentinels,100 Thieves,Haven,1
100 Thieves,T1,Haven,1
100 Thieves,T1,Icebox,0
100 Thieves,T1,Ascent,1
100 Thieves,NRG Esports,Haven,1
100 Thieves,NRG Esports,Bind,0
100 Thieves,NRG Esports,Ascent,0
T1,Cloud9,Icebox,1
T1,Cloud9,Ascent,1
Sentinels,100 Thieves,Ascent,1
Sentinels,100 Thieves,Haven,1
FunPlus Phoenix,FNATIC,Bind,0
FunPlus Phoenix,FNATIC,Split,1
FunPlus Phoenix,FNATIC,Haven,1
Team Liquid,FunPlus Phoenix,Haven,0
Team Liquid,FunPlus Phoenix,Split,0
G2 Esports,Team Liquid,Icebox,0
G2 Esports,Team Liquid,Split,1
G2 Esports,Team Liquid,Haven,0
G2 Esports,Team Liquid,Bind,1
G2 Esports,Team Liquid,Ascent,1
Sentinels,NRG Esports,Haven,1
Sentinels,NRG Esports,Icebox,0
Sentinels,NRG Esports,Split,0
100 Thieves,Sentinels,Haven,0
100 Thieves,Sentinels,Ascent,1
100 Thieves,Sentinels,Icebox,0
BBL Esports,FUT Esports,Haven,1
BBL Esports,FUT Esports,Split,1
BBL Esports,FUT Esports,TBD,0
100 Thieves,Sentinels,Icebox,1
100 Thieves,Sentinels,Haven,0
100 Thieves,Sentinels,Bind,1
Team Heretics,G2 Esports,Ascent,1
Team Heretics,G2 Esports,Bind,0
Team Heretics,G2 Esports,Split,1
BBL Esports,FUT Esports,Bind,1
BBL Esports,FUT Esports,Ascent,1
100 Thieves,T1,Haven,1
100 Thieves,T1,Bind,1
Team Liquid,Team Heretics,Split,0
Team Liquid,Team Heretics,Ascent,1
Team Liquid,Team Heretics,Bind,0
