Team1,Team2,Map,Result
Sentinels,NRG Esports,Sunset,0
Sentinels,NRG Esports,Split,0
NRG Esports,Cloud9,Bind,0
NRG Esports,Cloud9,Haven,1
NRG Esports,Cloud9,Ascent,1
Evil Geniuses,Cloud9,Abyss,0
Evil Geniuses,Cloud9,Pearl,1
Evil Geniuses,Cloud9,Haven,1
All Gamers,Titan Esports Club,Abyss,1
All Gamers,Titan Esports Club,Bind,0
All Gamers,Titan Esports Club,Pearl,0
TYLOO,Dragon Ranger Gaming,Split,1
TYLOO,Dragon Ranger Gaming,Ascent,0
TYLOO,Dragon Ranger Gaming,Bind,1
T1,EDward Gaming,Ascent,1
T1,EDward Gaming,Split,1
NRG Esports,Evil Geniuses,Split,1
NRG Esports,Evil Geniuses,Abyss,0
NRG Esports,Evil Geniuses,Haven,1
Sentinels,Evil Geniuses,Split,1
Sentinels,Evil Geniuses,Abyss,0
Sentinels,Evil Geniuses,Pearl,1
Sentinels,Cloud9,Pearl,1
Sentinels,Cloud9,Sunset,1
Bilibili Gaming,Xi Lai Gaming,Ascent,0
Bilibili Gaming,Xi Lai Gaming,Pearl,1
Bilibili Gaming,Xi Lai Gaming,Bind,1
FunPlus Phoenix,Wolves Esports,Haven,0
FunPlus Phoenix,Wolves Esports,Abyss,1
FunPlus Phoenix,Wolves Esports,Sunset,0
All Gamers,Nova Esports,Sunset,0
All Gamers,Nova Esports,Abyss,0
TYLOO,JDG Esports,Ascent,0
TYLOO,JDG Esports,Bind,0
Dragon Ranger Gaming,Xi Lai Gaming,Haven,1
Dragon Ranger Gaming,Xi Lai Gaming,Bind,0
Dragon Ranger Gaming,Xi Lai Gaming,Sunset,0
Titan Esports Club,Wolves Esports,Ascent,0
Titan Esports Club,Wolves Esports,Abyss,0
Nova Esports,Wolves Esports,Abyss,1
Nova Esports,Wolves Esports,Haven,0
Nova Esports,Wolves Esports,Sunset,0
Nova Esports,Wolves Esports,Ascent,0
TALON,DRX,Ascent,1
TALON,DRX,Sunset,1
Wolves Esports,Xi Lai Gaming,Lotus,1
Wolves Esports,Xi Lai Gaming,Bind,0
Wolves Esports,Xi Lai Gaming,Haven,1
Wolves Esports,Xi Lai Gaming,Sunset,1
Xi Lai Gaming,All Gamers,Bind,1
Xi Lai Gaming,All Gamers,Sunset,1
Wolves Esports,Nova Esports,Abyss,0
Wolves Esports,Nova Esports,Ascent,1
Wolves Esports,Nova Esports,Sunset,0
All Gamers,TYLOO,Lotus,1
All Gamers,TYLOO,Bind,0
All Gamers,TYLOO,Sunset,1
Dragon Ranger Gaming,Xi Lai Gaming,Abyss,1
Dragon Ranger Gaming,Xi Lai Gaming,Lotus,0
Dragon Ranger Gaming,Xi Lai Gaming,Haven,0
Dragon Ranger Gaming,Nova Esports,Sunset,0
Dragon Ranger Gaming,Nova Esports,Lotus,1
Dragon Ranger Gaming,Nova Esports,Haven,0
All Gamers,Wolves Esports,Sunset,0
